07/24 21:38:34.327 Normal:  Status: 6.95 GB downloaded (3.877% complete) current rate:  3.69 MB/s
07/24 21:38:39.345 Normal:  Status: 6.97 GB downloaded (3.890% complete) current rate:  3.21 MB/s
07/24 21:38:44.346 Normal:  Status: 6.99 GB downloaded (3.900% complete) current rate:  5.05 MB/s
07/24 21:38:49.371 Normal:  Status: 7.03 GB downloaded (3.921% complete) current rate:  4.28 MB/s
07/24 21:38:54.386 Normal:  Status: 7.04 GB downloaded (3.927% complete) current rate:  3.28 MB/s
07/24 21:38:59.394 Normal:  Status: 7.04 GB downloaded (3.927% complete) current rate:  2.13 MB/s
07/24 21:39:04.404 Normal:  Status: 7.07 GB downloaded (3.946% complete) current rate:  2.06 MB/s
07/24 21:39:09.412 Normal:  Status: 7.12 GB downloaded (3.972% complete) current rate:  3.94 MB/s
07/24 21:39:14.450 Normal:  Status: 7.14 GB downloaded (3.985% complete) current rate:  8.84 MB/s
07/24 21:39:19.473 Normal:  Status: 7.19 GB downloaded (4.013% complete) current rate:  8.49 MB/s
07/24 21:39:24.498 Normal:  Status: 7.20 GB downloaded (4.020% complete) current rate:  13.1 MB/s
07/24 21:39:29.521 Normal:  Status: 7.24 GB downloaded (4.040% complete) current rate:  16.0 MB/s
07/24 21:39:34.533 Normal:  Status: 7.24 GB downloaded (4.040% complete) current rate:  11.2 MB/s
07/24 21:39:39.584 Normal:  Status: 7.26 GB downloaded (4.051% complete) current rate:  5.84 MB/s
07/24 21:39:44.578 Normal:  Status: 7.31 GB downloaded (4.082% complete) current rate:  3.56 MB/s
07/24 21:39:49.636 Normal:  Status: 7.33 GB downloaded (4.092% complete) current rate:  4.21 MB/s
07/24 21:39:54.645 Normal:  Status: 7.37 GB downloaded (4.113% complete) current rate:  4.02 MB/s
07/24 21:39:59.693 Normal:  Status: 7.40 GB downloaded (4.129% complete) current rate:  5.38 MB/s
07/24 21:40:04.728 Normal:  Status: 7.41 GB downloaded (4.134% complete) current rate:  4.01 MB/s
07/24 21:40:09.739 Normal:  Status: 7.44 GB downloaded (4.153% complete) current rate:  2.97 MB/s
07/24 21:40:14.739 Normal:  Status: 7.47 GB downloaded (4.168% complete) current rate:  1.79 MB/s
07/24 21:40:19.762 Normal:  Status: 7.48 GB downloaded (4.177% complete) current rate:  1.77 MB/s
07/24 21:40:24.769 Normal:  Status: 7.55 GB downloaded (4.211% complete) current rate:  3.22 MB/s
07/24 21:40:29.796 Normal:  Status: 7.59 GB downloaded (4.233% complete) current rate:  4.35 MB/s
07/24 21:40:34.819 Normal:  Status: 7.59 GB downloaded (4.233% complete) current rate:  5.83 MB/s
07/24 21:40:39.872 Normal:  Status: 7.65 GB downloaded (4.267% complete) current rate:  7.91 MB/s
07/24 21:40:44.914 Normal:  Status: 7.68 GB downloaded (4.288% complete) current rate:  8.62 MB/s
07/24 21:40:49.961 Normal:  Status: 7.70 GB downloaded (4.298% complete) current rate:  9.01 MB/s
07/24 21:40:54.975 Normal:  Status: 7.72 GB downloaded (4.308% complete) current rate:  9.55 MB/s
